1,200001.8059,30897,-0.03,2.55,156.69,0,0,44,0,0
2,200001.9876,30997,-0.03,2.57,157.79,0,0,43,0,0
3,200002.045,31097,-0.03,2.59,158.79,0,0,40,0,0
4,200002.0964,31199,-0.04,2.58,159.69,0,0,44,0,0
5,200002.2049,31297,-0.03,2.57,160.48,0,0,41,0,0
6,200002.274,31397,-0.03,2.58,161.21,0,0,46,0,0
7,200002.3631,31496,-0.02,2.56,161.87,0,0,46,0,0
8,200002.4917,31595,-0.02,2.56,162.45,0,0,45,0,0
9,200002.5604,31697,-0.03,2.57,163,0,0,44,0,0
10,200002.6795,31797,-0.03,2.57,163.5,0,0,43,0,0
11,200002.7913,31892,-0.03,2.57,163.93,0,0,42,0,0
12,200002.8535,31994,-0.03,2.55,164.32,0,0,42,0,0
13,200002.9901,32097,-0.03,2.58,164.69,0,0,44,0,0
14,200003.1117,32195,-0.04,2.63,165.03,0,0,42,0,0
15,200003.1574,32297,-0.04,2.63,165.32,0,0,45,0,0
16,200003.2762,32398,-0.05,2.6,165.59,0,0,42,0,0
17,200003.398,32491,-0.04,2.61,165.72,0,0,43,0,0
18,200003.5107,32597,-0.04,2.57,166.05,0,0,42,0,0
19,200003.5738,32698,-0.04,2.58,166.24,0,0,42,0,0
20,200003.7055,32793,-0.05,2.61,166.36,0,0,43,0,0
21,200003.7617,32898,-0.04,2.61,166.58,0,0,44,0,0
22,200003.9353,32996,-0.03,2.6,166.72,0,0,43,0,0
23,200004.0034,33098,-0,-0,0.11,0,0,1,0,0
24,200004.0664,33198,-0,-0.01,0.24,0,0,1,0,0
25,200004.1713,33295,0,-0.01,0.3,0,0,3,0,0
26,200004.2952,33391,0,-0.01,0.4,0,0,1,0,0
27,200004.3554,33494,-0.01,-0.01,0.5,0,0,1,0,0
28,200004.477,33597,-0.01,-0.02,0.58,0,0,-1,0,0
29,200004.6042,33697,-0,-0.04,0.64,0,0,-3,0,0
30,200004.6582,33797,0,-0.05,0.69,0,0,2,0,0
31,200004.7861,33898,-0,-0.04,0.75,0,0,2,0,0
32,200004.9071,33997,-0.01,-0.05,0.79,0,0,1,0,0
33,200004.9538,34094,-0.01,-0.03,0.84,0,0,0,0,0
34,200005.0877,34197,0,-0.04,0.87,0,0,-1,0,0
35,200005.2123,34293,0.01,-0.03,0.9,0,0,2,0,0
36,200005.2569,34397,0.01,-0.02,0.93,0,0,2,0,0
37,200005.3815,34494,-0,-0.04,0.96,0,0,0,0,0
38,200005.5579,34596,-0.01,-0.04,0.99,0,0,-1,0,0
39,200005.5756,34695,-0.01,-0.04,1.02,0,0,2,0,1
40,200005.6902,34797,-0.01,-0.02,1.05,0,0,-1,0,1
41,200005.8037,34897,-0.01,0.02,1.07,0,0,-1,0,1
42,200005.9295,34991,-0,-0,1.08,0,0,1,0,1
43,200005.9824,35097,-0.01,-0.02,1.1,0,0,0,0,1
44,200006.1064,35195,-0.01,0.03,1.1,0,0,-1,0,1
45,200006.1572,35297,-0.01,0.04,1.12,0,0,-1,0,1
46,200006.2904,35397,-0,0.02,1.13,0,0,-3,0,1
47,200006.3952,35497,0,-0,1.14,0,0,0,0,1
48,200006.4617,35591,-0,-0.01,1.16,0,0,2,0,1
49,200006.6997,35698,0.01,-0.01,1.16,0,0,0,0,1
50,200006.7216,35791,0,-0.01,1.17,20.2,20,-1,10,1
51,200006.7603,35895,0.06,-0.91,1.19,22.2,22,-1,10,1
52,200006.8828,35997,0.02,-1.71,1.32,20.1,20,2,10,1
53,200007.0017,36094,0.14,-2.2,1.31,25.9,26,0,10,1
54,200007.0622,36196,0.26,-2.84,1.46,27.84,28,-2,10,1
55,200007.1759,36297,1.22,-2.81,1.32,25.8,26,2,10,1
56,200007.2992,36391,1.36,-3.49,1.21,29.62,30,1,10,1
57,200007.3595,36496,-0.23,-3.08,0.47,29.12,29,2,10,1
58,200007.4768,36598,-3.19,-2.29,0.65,35,35,0,10,1
59,200007.6041,36694,1.08,-4.63,0.71,28.18,28,4,10,1
60,200007.6635,36798,2.53,-4.99,0.39,38.04,38,0,10,1
61,200007.7833,36899,4.99,-5.48,0.35,31.78,32,4,10,1
62,200007.9087,36998,3.01,-4.43,0.53,39.4,39,1,10,1
63,200007.9556,37098,0.5,-2.69,0.24,43.38,43,-1,10,1
64,200008.0866,37198,-0.33,-1.32,0.08,41.04,41,2,10,1
65,200008.1964,37298,-1.04,-1.5,-0.28,46.48,46,-1,10,1
66,200008.2586,37398,-0.26,-2.18,-0.4,40,40,4,10,1
67,200008.3892,37497,-3.48,-1.63,-0.77,47.56,48,1,10,1
68,200008.4971,37597,-2.94,-2,-0.3,44.92,45,3,10,1
69,200008.5632,37697,-2.77,-1.24,-0.53,48.26,48,2,10,1
70,200008.6896,37796,-1.95,-1.4,-0.36,49.92,50,2,10,1
71,200008.7942,37897,-1.4,-0.29,-0.08,49.42,49,3,10,1
72,200008.8587,37997,-0.75,-1.37,-0.06,54.88,55,1,10,1
73,200008.9874,38097,-0.17,-0.81,0.55,50.44,50,4,10,1
74,200009.1022,38194,-0.85,-0.74,0.87,49.66,50,5,10,1
75,200009.1544,38297,-1.2,-2.18,0.97,61.5,62,-1,10,1
