"94,142558.4895,2628421,-1.144,1.992,178.929,8190"
"95,142558.5489,2628519,-1.140,2.010,178.748,8190"
"96,142558.6703,2628623,-1.140,2.035,178.660,8190"
"97,142558.7920,2628724,-1.137,2.076,178.643,8190"
"98,142558.8523,2628817,-1.141,2.046,178.592,8190"
"99,142558.9751,2628924,-1.140,2.043,178.597,8190"
"100,142559.0964,2629020,-1.131,2.033,178.517,8190"
"101,142559.1468,2629120,-1.136,2.022,178.443,8190"
"102,142559.2686,2629221,-1.140,2.010,178.380,8190"
"103,142559.3898,2629322,-1.151,2.016,178.317,8190"
"104,142559.5112,2629425,-1.143,2.036,178.116,8190"
"105,142559.5710,2629517,-1.137,2.052,178.159,8190"
"106,142559.6928,2629626,-1.133,2.042,178.134,8190"
"107,142559.7545,2629726,-1.133,2.044,178.112,8190"
"108,142559.8747,2629822,-1.142,2.025,178.050,8190"
"109,142559.9869,2629922,-1.146,2.008,177.967,8190"
"110,142600.0482,2630023,-1.147,2.013,177.900,8190"
"111,142600.1719,2630125,-1.141,2.039,177.848,8190"
"112,142600.2929,2630225,-1.146,2.044,177.799,8190"
"113,142600.3544,2630326,-1.150,2.058,177.763,8190"
"114,142600.4787,2630418,-1.152,2.042,177.708,8190"
"115,142600.6026,2630524,-1.149,2.016,177.676,8190"
"116,142600.6506,2630617,-1.158,1.983,177.524,8190"
"117,142600.7816,2630722,-1.156,1.977,177.397,8190"
"118,142600.8976,2630821,-1.161,1.982,177.254,8190"
"119,142600.9590,2630925,-1.166,2.008,177.087,0"
"120,142601.0677,2631025,-1.170,1.984,176.934,8190"
"121,142601.1904,2631116,-1.165,1.993,176.804,8190"
"122,142601.2505,2631225,-1.152,2.007,176.732,8190"
"123,142601.3723,2631320,-1.157,2.009,176.622,8190"
"124,142601.4960,2631418,-1.161,2.008,176.525,8190"
"125,142601.5537,2631521,-1.161,2.024,176.487,8190"
"126,142601.6753,2631625,-1.154,2.035,176.452,8190"
"127,142601.7876,2631725,-1.150,2.035,176.451,8190"
